Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	FoldChange	BFDR	boosted_by
HumanCicGFP	P62851	RPS25	7	7	7.00	1	6	0.00	0.00	0.00	0.00	0.00	1.17	0.52	
HumanCicGFP	P62854	RPS26	3	3	3.00	1	2	0.03	0.03	0.03	0.03	0.03	1.50	0.35	
HumanCicGFP	P42677	RPS27	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	P62857	RPS28	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P62273	RPS29	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P23396	RPS3	19	19	19.00	1	17	0.00	0.00	0.00	0.00	0.00	1.12	0.57	
HumanCicGFP	P61247	RPS3A	8	8	8.00	1	10	0.00	0.00	0.00	0.00	0.00	0.80	0.58	
HumanCicGFP	P62701	RPS4X	11	11	11.00	1	14	0.00	0.00	0.00	0.00	0.00	0.79	0.58	
HumanCicGFP	P46782	RPS5	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P62753	RPS6	6	6	6.00	1	5	0.00	0.00	0.00	0.00	0.00	1.20	0.50	
HumanCicGFP	P62081	RPS7	6	6	6.00	1	4	0.00	0.00	0.00	0.00	0.00	1.50	0.46	
HumanCicGFP	P62241	RPS8	8	8	8.00	1	8	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P46781	RPS9	6	6	6.00	1	7	0.00	0.00	0.00	0.00	0.00	0.86	0.58	
HumanCicGFP	P08865	RPSA	9	9	9.00	1	8	0.00	0.00	0.00	0.00	0.00	1.12	0.53	
HumanCicGFP	Q9P2E9	RRBP1	4	4	4.00	1	0	1.00	1.00	1.00	1.00	1.00	40.00	0.00	
HumanCicGFP	P23921	RRM1	4	4	4.00	1	1	0.75	0.75	0.75	0.75	0.75	4.00	0.03	
HumanCicGFP	P31350	RRM2	2	2	2.00	1	3	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	Q14684	RRP1B	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	O76021	RSL1D1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q7L4I2	RSRC2	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q15404	RSU1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9Y3I0	RTCB	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q9BY42	RTF2	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	Q9NQC3	RTN4	2	2	2.00	1	0	0.96	0.96	0.96	0.96	0.96	20.00	0.01	
HumanCicGFP	Q9Y265	RUVBL1	7	7	7.00	1	10	0.00	0.00	0.00	0.00	0.00	0.70	0.58	
HumanCicGFP	Q9Y230	RUVBL2	4	4	4.00	1	6	0.00	0.00	0.00	0.00	0.00	0.67	0.58	
HumanCicGFP	Q9HCY8	S100A14	3	3	3.00	1	4	0.00	0.00	0.00	0.00	0.00	0.75	0.58	
HumanCicGFP	Q9NR31	SAR1A	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P49591	SARS1	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	O43290	SART1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q6UWP8	SBSN	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O95104	SCAF4	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	O15126	SCAMP1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	O14828	SCAMP3	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	O00767	SCD	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q8WVM8	SCFD1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O43819	SCO2	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9HCN8	SDF2L1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P31040	SDHA	3	3	3.00	1	1	0.47	0.47	0.47	0.47	0.47	3.00	0.05	
HumanCicGFP	P67812	SEC11A	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	O15027	SEC16A	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P61619	SEC61A1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9UGP8	SEC63	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q15019	SEPTIN2	3	3	3.00	1	4	0.00	0.00	0.00	0.00	0.00	0.75	0.58	
HumanCicGFP	Q14141	SEPTIN6	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	Q16181	SEPTIN7	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q8NC51	SERBP1	3	3	3.00	1	3	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q8IW75	SERPINA12	2	2	2.00	1	1	0.19	0.19	0.19	0.19	0.19	2.00	0.13	
HumanCicGFP	P0DME0	SETSIP	1	1	1.00	1	3	0.00	0.00	0.00	0.00	0.00	0.33	0.58	
HumanCicGFP	Q15459	SF3A1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q15428	SF3A2	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q12874	SF3A3	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	O75533	SF3B1	3	3	3.00	1	3	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q13435	SF3B2	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q15393	SF3B3	5	5	5.00	1	4	0.00	0.00	0.00	0.00	0.00	1.25	0.47	
HumanCicGFP	Q15427	SF3B4	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	Q9Y3B4	SF3B6	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	P23246	SFPQ	4	4	4.00	1	4	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q9H9B4	SFXN1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q99961	SH3GL1	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q9Y371	SH3GLB1	1	1	1.00	1	0	0.00	0.00	0.00	0.00	0.00	10.00	0.58	
HumanCicGFP	P34897	SHMT2	2	2	2.00	1	2	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
HumanCicGFP	Q9NXA8	SIRT5	1	1	1.00	1	2	0.00	0.00	0.00	0.00	0.00	0.50	0.58	
HumanCicGFP	Q9GZS3	SKIC8	1	1	1.00	1	1	0.00	0.00	0.00	0.00	0.00	1.00	0.58	
